lambda,mu,servers,capacity,simulation_time,warmup_time,arrivals,departures,dropped,avg_n_system,avg_n_queue,avg_wait_queue,avg_response_time,throughput,utilization,drop_probability,scenario,replication
4.0,8.0,1,-1,5000.0,500.0,18120,18120,0,1.0039258645444524,0.5006959480915497,0.12434502022141136,1.2493193372213092,4.026666666666666,0.5032299164529026,0.0,MM1,0
4.0,8.0,1,-1,5000.0,500.0,18023,18028,0,0.9965101746034104,0.4954236149782583,0.1238087492474772,1.2488952976023084,4.006222222222222,0.5010865596251519,0.0,MM1,1
4.0,8.0,1,-1,5000.0,500.0,18179,18180,0,1.023564948039887,0.5207790497931947,0.1289057053943551,1.2533611848296506,4.04,0.5027858982466922,0.0,MM1,2
4.0,8.0,1,-1,5000.0,500.0,18182,18182,0,0.9885700109665375,0.491478500439947,0.12163971246176226,1.2446686310279083,4.040444444444445,0.49709151052659045,0.0,MM1,3
4.0,8.0,1,-1,5000.0,500.0,17991,17990,0,1.015029864929527,0.5164329057524089,0.12917947352972473,1.2538808507727301,3.997777777777778,0.49859695917711827,0.0,MM1,4
4.0,8.0,1,-1,5000.0,500.0,18224,18227,0,1.0312403098197793,0.521135070708034,0.12866218272542587,1.2546096315087667,4.0504444444444445,0.5101052391117455,0.0,MM1,5
4.0,8.0,1,-1,5000.0,500.0,17933,17932,0,0.9921234103633152,0.4918078774060187,0.12340635214388852,1.2489546390546793,3.984888888888889,0.5003155329572964,0.0,MM1,6
4.0,8.0,1,-1,5000.0,500.0,17950,17951,0,0.9893341155247267,0.48817563257431507,0.1223770456567555,1.24801001380761,3.9891111111111113,0.5011584829504115,0.0,MM1,7
4.0,8.0,1,-1,5000.0,500.0,17830,17828,0,0.9726544351105192,0.4775811072374235,0.12049543175890091,1.2454567008061912,3.961777777777778,0.49507332787309577,0.0,MM1,8
4.0,8.0,1,-1,5000.0,500.0,18033,18034,0,1.0501017773074002,0.5416064096257036,0.1351463260128461,1.262036026637728,4.007555555555555,0.5084953676816966,0.0,MM1,9
6.0,8.0,1,-1,5000.0,500.0,26866,26853,0,3.005580374046149,2.257238519574918,0.3779305856620882,1.5033163132278975,5.967333333333333,0.7483418544712965,0.0,MM1,0
