time,node,event,source,destination,msgID
0.175727,1,SEND_MSG,1,0,1
0.183464,1,SEND_MSG,1,0,2
0.842152,1,SEND_MSG,1,0,3
0.867034,1,SEND_MSG,1,0,4
1.005135,1,SEND_MSG,1,0,5
1.175727,0,RECV_MSG,1,0,1
1.183464,0,RECV_MSG,1,0,2
1.43602,0,MSG_DEPT,1,0,2
1.527451,1,SEND_MSG,1,0,6
1.610019,1,SEND_MSG,1,0,7
1.691034,0,MSG_DEPT,1,0,1
1.842152,0,RECV_MSG,1,0,3
1.867034,0,RECV_MSG,1,0,4
1.881475,0,MSG_DEPT,1,0,4
1.905248,0,MSG_DEPT,1,0,3
2.005135,0,RECV_MSG,1,0,5
2.137063,0,MSG_DEPT,1,0,5
2.410218,1,SEND_MSG,1,0,8
2.432952,1,SEND_MSG,1,0,9
2.488184,1,SEND_MSG,1,0,10
2.527451,0,RECV_MSG,1,0,6
2.610019,0,RECV_MSG,1,0,7
2.610385,0,MSG_DEPT,1,0,7
2.662717,0,MSG_DEPT,1,0,6
2.681369,1,SEND_MSG,1,0,11
2.881973,1,SEND_MSG,1,0,12
3.016632,1,SEND_MSG,1,0,13
3.308828,1,SEND_MSG,1,0,14
3.410218,0,RECV_MSG,1,0,8
3.432952,0,RECV_MSG,1,0,9
3.488184,0,RECV_MSG,1,0,10
3.51941,0,MSG_DEPT,1,0,10
3.572665,0,MSG_DEPT,1,0,8
3.681369,0,RECV_MSG,1,0,11
3.726321,0,MSG_DEPT,1,0,9
3.775522,0,MSG_DEPT,1,0,11
3.87445,1,SEND_MSG,1,0,15
3.881973,0,RECV_MSG,1,0,12
3.919231,0,MSG_DEPT,1,0,12
4.016632,0,RECV_MSG,1,0,13
4.054488,0,MSG_DEPT,1,0,13
4.225502,1,SEND_MSG,1,0,16
4.308828,0,RECV_MSG,1,0,14
4.511083,0,MSG_DEPT,1,0,14
4.808031,1,SEND_MSG,1,0,17
4.87445,0,RECV_MSG,1,0,15
4.88018,0,MSG_DEPT,1,0,15
4.98662,1,SEND_MSG,1,0,18
5.225502,0,RECV_MSG,1,0,16
5.271733,1,SEND_MSG,1,0,19
5.365774,0,MSG_DEPT,1,0,16
5.371496,1,SEND_MSG,1,0,20
5.727014,1,SEND_MSG,1,0,21
5.808031,0,RECV_MSG,1,0,17
5.854455,0,MSG_DEPT,1,0,17
5.98662,0,RECV_MSG,1,0,18
6.060802,1,SEND_MSG,1,0,22
6.118362,1,SEND_MSG,1,0,23
6.168368,1,SEND_MSG,1,0,24
6.271733,0,RECV_MSG,1,0,19
6.285943,0,MSG_DEPT,1,0,19
6.371496,0,RECV_MSG,1,0,20
6.402934,0,MSG_DEPT,1,0,18
6.511783,0,MSG_DEPT,1,0,20
6.650783,1,SEND_MSG,1,0,25
6.727014,0,RECV_MSG,1,0,21
6.807178,1,SEND_MSG,1,0,26
6.809475,0,MSG_DEPT,1,0,21
6.817024,1,SEND_MSG,1,0,27
6.817758,1,SEND_MSG,1,0,28
6.917365,1,SEND_MSG,1,0,29
6.970905,1,SEND_MSG,1,0,30
7.049246,1,SEND_MSG,1,0,31
7.060802,0,RECV_MSG,1,0,22
7.118362,0,RECV_MSG,1,0,23
7.140979,1,SEND_MSG,1,0,32
7.168368,0,RECV_MSG,1,0,24
7.268952,0,MSG_DEPT,1,0,23
7.385372,0,MSG_DEPT,1,0,24
7.563814,0,MSG_DEPT,1,0,22
7.650783,0,RECV_MSG,1,0,25
7.714548,1,SEND_MSG,1,0,33
7.74224,1,SEND_MSG,1,0,34
7.807178,0,RECV_MSG,1,0,26
7.817024,0,RECV_MSG,1,0,27
7.817758,0,RECV_MSG,1,0,28
7.90282,0,MSG_DEPT,1,0,27
7.903144,0,MSG_DEPT,1,0,26
7.917365,0,RECV_MSG,1,0,29
7.942231,0,MSG_DEPT,1,0,28
7.946049,0,MSG_DEPT,1,0,29
7.970905,0,RECV_MSG,1,0,30
7.98391,0,MSG_DEPT,1,0,25
8.031323,1,SEND_MSG,1,0,35
8.042164,0,MSG_DEPT,1,0,30
