lambda,mu,servers,capacity,simulation_time,warmup_time,arrivals,departures,dropped,avg_n_system,avg_n_queue,avg_wait_queue,avg_response_time,throughput,utilization,drop_probability,scenario,replication
4.0,8.0,1,-1,1000.0,100.0,3662,3658,0,1.0661589328974999,0.5518810231242566,0.1353933073260925,1.2618302459155726,4.064444444444445,0.5142779097732433,0.0,MM1,0
4.0,8.0,1,-1,1000.0,100.0,3593,3595,0,0.979123989902788,0.4691003268034658,0.11747033625712645,1.2452240305442253,3.9944444444444445,0.5100236630993223,0.0,MM1,1
4.0,8.0,1,-1,1000.0,100.0,3503,3503,0,1.030362684834057,0.5313466641109024,0.13651498649723443,1.2647234988154887,3.8922222222222222,0.4990160207231546,0.0,MM1,2
6.0,8.0,1,-1,1000.0,100.0,5404,5400,0,3.8453141767716135,3.0924361680909245,0.5151057876047328,1.6405439951413667,6.0,0.7528780086807089,0.0,MM1,0
6.0,8.0,1,-1,1000.0,100.0,5486,5485,0,3.030357550196729,2.2596112980629273,0.3709210752263292,1.4973979640080148,6.094444444444444,0.7707462521338067,0.0,MM1,1
6.0,8.0,1,-1,1000.0,100.0,5463,5465,0,2.8457090616172507,2.1010383610726002,0.3459978934602879,1.4686514251569622,6.072222222222222,0.7446707005446705,0.0,MM1,2
8.0,8.0,1,-1,1000.0,100.0,7258,7161,0,128.60277535714803,127.60277535714812,15.801441227090818,16.927189221829646,7.956666666666667,1.0,0.0,MM1,0
8.0,8.0,1,-1,1000.0,100.0,7063,7050,0,51.47359739636305,50.49990865248682,6.437893678211341,7.562196435939659,7.833333333333333,0.9736887438761994,0.0,MM1,1
8.0,8.0,1,-1,1000.0,100.0,7081,7076,0,21.529483771983646,20.556651634633127,2.6136043186969338,3.7373321216800353,7.862222222222222,0.9728321373504957,0.0,MM1,2
12.0,8.0,1,-1,1000.0,100.0,10781,7346,0,2100.5030788752906,2099.503078875278,174.24816595776454,175.37066596017578,8.162222222222223,1.0,0.0,MM1,0
12.0,8.0,1,-1,1000.0,100.0,10638,7157,0,2122.7098090765035,2121.7098090765044,181.03561878374072,182.16137209091926,7.952222222222222,1.0,0.0,MM1,1
12.0,8.0,1,-1,1000.0,100.0,10841,7075,0,2245.406838079041,2244.406838079035,184.7785461545146,185.90575531375492,7.861111111111111,1.0,0.0,MM1,2
