scenario,lambda,mu,servers,capacity,replications,avg_n_system_mean,avg_n_system_ci_low,avg_n_system_ci_high,avg_n_system_ci_half,avg_n_queue_mean,avg_n_queue_ci_low,avg_n_queue_ci_high,avg_n_queue_ci_half,avg_wait_queue_mean,avg_wait_queue_ci_low,avg_wait_queue_ci_high,avg_wait_queue_ci_half,avg_response_time_mean,avg_response_time_ci_low,avg_response_time_ci_high,avg_response_time_ci_half,throughput_mean,throughput_ci_low,throughput_ci_high,throughput_ci_half,utilization_mean,utilization_ci_low,utilization_ci_high,utilization_ci_half,drop_probability_mean,drop_probability_ci_low,drop_probability_ci_high,drop_probability_ci_half
MM1,4.0,8.0,1,-1,3,1.0252152025447816,0.9165373241401038,1.1338930809494594,0.10867787840467776,0.5174426713462082,0.4103520840912806,0.6245332586011358,0.10709058725492764,0.12979287669348447,0.10324434387778467,0.15634140950918426,0.0265485328156998,1.2572592584250957,1.2311172483773505,1.2834012684728409,0.026142010047745114,3.9837037037037035,3.7685300945738174,4.19887731283359,0.21517360912988595,0.5077725311985734,0.4882057834041407,0.527339278993006,0.01956674779443264,0.0,0.0,0.0,0.0
MM1,6.0,8.0,1,-1,3,3.2404602628618644,1.919058637774591,4.561861887949138,1.3214016250872733,2.4843619424088175,1.1613450311495777,3.807378853668057,1.3230169112592398,0.4106749187637833,0.18386904447545388,0.6374807930521127,0.22680587428832943,1.5355311281021145,1.306791597554748,1.764270658649481,0.22873953054736648,6.0555555555555545,5.932881772255889,6.17822933885522,0.1226737832996659,0.756098320453062,0.7229753365059536,0.7892213044001705,0.03312298394710842,0.0,0.0,0.0,0.0
MM1,8.0,8.0,1,-1,3,67.2019521751649,-70.03852778673539,204.4424321370652,137.2404799619003,66.21977854808937,-70.98349539269081,203.42305248886953,137.20327394078018,8.284313074666365,-8.57201028114508,25.14063643047781,16.856323355811444,9.408905926483113,-7.450003257148628,26.267815110114853,16.85890918363174,7.884074074074074,7.723821639122351,8.044326509025797,0.16025243495172348,0.9821736270755651,0.9438054284483666,1.0205418257027636,0.038368198627198515,0.0,0.0,0.0,0.0
MM1,12.0,8.0,1,-1,3,2156.2065753436113,1962.3199357304675,2350.093214956755,193.88663961314396,2155.206575343606,1961.3199357304595,2349.093214956752,193.88663961314634,180.02077696533993,166.75928403633063,193.28226989434924,13.261492929009306,181.14593112161666,167.8784562103138,194.4134060329195,13.267474911302859,7.991851851851852,7.608225819228529,8.375477884475174,0.3836260326233231,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MM1K4,4.0,8.0,1,4,3,0.8233433268134078,0.7306809955446717,0.916005658082144,0.09266233126873615,0.34479241196094174,0.2826433162410402,0.40694150768084325,0.06214909571990149,0.09048277660526838,0.07617385219867705,0.10479170101185971,0.014308924406591325,1.2160101252673294,1.1969104062109717,1.2351098443236872,0.019099719056357763,3.8125925925925928,3.62996221419143,3.9952229709937557,0.1826303784011628,0.4785509148524662,0.44685615280949736,0.510245676895435,0.03169476204296882,0.032332292244900675,0.015398901190418628,0.04926568329938272,0.016933391054482046
MM1K4,6.0,8.0,1,4,3,1.4308670168613793,1.3399479614832315,1.521786072239527,0.09091905537814783,0.7587050751233831,0.6842595120347295,0.8331506382120368,0.07444556308865372,0.14096005729964578,0.12910599043851356,0.152814124160778,0.011854066861132209,1.265888455675005,1.2512445976767654,1.2805323136732445,0.014643857998239487,5.380740740740741,5.182179073543942,5.57930240793754,0.19856166719679924,0.6721619417379959,0.6551536380463847,0.6891702454296071,0.017008303691611205,0.10214019283015731,0.0984086727198183,0.10587171294049631,0.0037315201103389987
MM1K4,8.0,8.0,1,4,3,1.9924862978012063,1.956748842789637,2.028223752812776,0.035737455011569476,1.1900311621905573,1.1637527944564126,1.216309529924702,0.026278367734144693,0.18436214065475395,0.17676441103991783,0.19195987026959008,0.007597729614836117,1.308665401125577,1.2981445989455542,1.3191862033055997,0.010520802180022609,6.457037037037037,6.281555857169248,6.632518216904827,0.17548117986778936,0.8024551356106531,0.789360531279188,0.8155497399421181,0.013094604331465049,0.1924219167250687,0.16397454930530486,0.22086928414483253,0.02844736741976383
MM1K4,12.0,8.0,1,4,3,2.794527670506655,2.733309115311597,2.855746225701713,0.06121855519505836,1.866046429258687,1.8131043296621205,1.9189885288552533,0.05294209959656633,0.2545125214477409,0.2428808670922672,0.2661441758032146,0.011631654355473689,1.3811810453158035,1.366369289556791,1.3959928010748162,0.014811755759012597,7.33037037037037,7.205135271524825,7.455605469215915,0.12523509884554493,0.9284812412479759,0.920040773803549,0.9369217086924029,0.008440467444426981,0.39056303865601044,0.38434306872589713,0.39678300858612375,0.006219969930113301
MM1K8,4.0,8.0,1,8,3,0.9319169219678559,0.8223746215094496,1.0414592224262622,0.10954230045840634,0.4484772492691487,0.3784981469067913,0.5184563516315062,0.06997910236235746,0.11506747719080994,0.10555368446453363,0.12458126991708625,0.009513792726276312,1.239185688246699,1.2289861295860933,1.2493852469073046,0.010199558660605542,3.894814814814815,3.5773796004969545,4.212250029132675,0.3174352143178603,0.48343967269870713,0.4433841647802435,0.5234951806171708,0.040055507918463636,0.0008385424964987763,-0.0009969963453277707,0.002674081338325323,0.001835538841826547
MM1K8,6.0,8.0,1,8,3,2.2478357678742236,2.2092706914065223,2.286400844341925,0.03856507646770136,1.5157853668982195,1.4792353197070036,1.5523354140894354,0.03655004719121593,0.2584786563911318,0.24632078646767894,0.2706365263145847,0.012157869923452877,1.383329738461083,1.3685974662982594,1.3980620106239066,0.014732272162823518,5.864074074074074,5.729795670283975,5.998352477864174,0.13427840379009948,0.7320504009760036,0.7211624003213607,0.7429384016306465,0.010888000654642892,0.025721561034522358,0.01901061802068306,0.032432504048361656,0.006710943013839299
MM1K8,8.0,8.0,1,8,3,3.969471761555489,3.806680423675524,4.132263099435454,0.16279133787996497,3.083110175482544,2.9250665005853103,3.241153850379778,0.15804367489723403,0.4303024732104932,0.40311244484868497,0.4574925015723014,0.027190028361808224,1.553903013777619,1.5240551239638964,1.5837509035913417,0.029847889813722637,7.172592592592593,6.978494136781411,7.366691048403775,0.19409845581118165,0.8863615860729465,0.8816136541423258,0.8911095180035671,0.0047479319306206426,0.10410753486640983,0.08323355703758686,0.1249815126952328,0.020873977828822964
MM1K8,12.0,8.0,1,8,3,6.2758323552686415,6.092908198604732,6.458756511932551,0.18292415666390965,5.287621817091342,5.1105892348346025,5.464654399348081,0.17703258225673932,0.6687664135365914,0.6386648873326747,0.6988679397405081,0.03010152620391675,1.7937746924271731,1.7608630680093162,1.82668631684503,0.03291162441785689,7.906296296296296,7.723311625951463,8.089280966641129,0.18298467034483296,0.9882105381772813,0.982183305127585,0.9942377712269777,0.00602723304969632,0.3425473789089928,0.3295318573399449,0.3555629004780407,0.013015521569047915
MM3K8,4.0,8.0,3,8,3,0.504041025822078,0.49307749587642646,0.5150045557677295,0.010963529945651551,0.002305861834955107,-0.00019101665075146228,0.004802740320661676,0.0024968784857065693,0.0005793709252665439,-5.5059177614773464e-05,0.0012138010281478612,0.0006344301028813174,1.1264290459770732,1.1207089046769856,1.1321491872771607,0.005720141300087682,3.988888888888889,3.879339871025584,4.098437906752194,0.10954901786330505,0.1672450546623743,0.16441098113416888,0.17007912819057971,0.002834073528205419,0.0,0.0,0.0,0.0
MM3K8,6.0,8.0,3,8,3,0.7612781747263092,0.708207906279616,0.8143484431730024,0.05307026844669317,0.015573048726767014,0.007369034995212397,0.023777062458321632,0.008204013731554617,0.0025981561416270477,0.001236255732371594,0.003960056550882501,0.0013619004092554536,1.1270798627805425,1.117726457943942,1.136433267617143,0.00935340483660045,5.992962962962963,5.948940954707583,6.036984971218343,0.04402200825538005,0.24856837533318074,0.2319155239038299,0.26522122676253157,0.016652851429350822,6.171696599395174e-05,-0.00020385113867802258,0.00032728507066592604,0.0002655681046719743
MM3K8,8.0,8.0,3,8,3,1.043314860422867,0.9622361880185337,1.1243935328272003,0.0810786724043333,0.04599295612674686,0.035222343637266056,0.05676356861622766,0.010770612489480804,0.005746620533157137,0.004589448755356038,0.006903792310958237,0.0011571717778010998,1.130429362909452,1.124872475302936,1.135986250515968,0.005556887606516004,7.997777777777777,7.717671033520898,8.277884522034656,0.280106744256879,0.3324406347653734,0.30871380201376475,0.35616746751698203,0.02372683275160864,0.00018361851925131464,-0.000334281196577483,0.0007015182350801123,0.0005178997158287977
