lambda,num_clients,mu,servers,capacity,simulation_time,warmup_time,arrivals,departures,dropped,avg_n_system,avg_n_queue,avg_wait_queue,avg_response_time,throughput,utilization,drop_probability,scenario,replication
4.0,1,8.0,1,-1,5000.0,500.0,18028,18031,0,0.9982586203626551,0.5022217021965647,0.12535036144756964,1.2491822774415258,4.006888888888889,0.4960369181660904,0.0,MM1,0
4.0,1,8.0,1,-1,5000.0,500.0,17936,17935,0,0.9763261391514174,0.4778905450049913,0.11990252537802594,1.2449534200333998,3.9855555555555555,0.49843559414642613,0.0,MM1,1
4.0,1,8.0,1,-1,5000.0,500.0,18091,18091,0,1.0077563033823285,0.5021030807405608,0.12489435981054245,1.2506717906815856,4.020222222222222,0.5056532226417677,0.0,MM1,2
4.0,1,8.0,1,-1,5000.0,500.0,18110,18113,0,1.0154355602329506,0.5141846719428144,0.12776633449114394,1.2523082855512302,4.025111111111111,0.5012508882901362,0.0,MM1,3
4.0,1,8.0,1,-1,5000.0,500.0,17974,17973,0,0.9671522015347994,0.46990229448334875,0.11760049474782795,1.2420979695081575,3.994,0.49724990705145056,0.0,MM1,4
4.0,1,8.0,1,-1,5000.0,500.0,18064,18063,0,0.9871667212053766,0.48945078773900824,0.12193592121051526,1.245927328809393,4.014,0.4977159334663684,0.0,MM1,5
4.0,1,8.0,1,-1,5000.0,500.0,18062,18064,0,0.9922646866698649,0.48803144379884816,0.121647274892115,1.2472648031976026,4.014222222222222,0.5042332428710169,0.0,MM1,6
4.0,1,8.0,1,-1,5000.0,500.0,17817,17818,0,0.9846265536327153,0.4868778663273592,0.12296275667713079,1.2486748311145872,3.9595555555555557,0.4977486873053562,0.0,MM1,7
4.0,1,8.0,1,-1,5000.0,500.0,17843,17842,0,0.9694666622336598,0.47402316214011664,0.11955521968560279,1.2445068158801404,3.964888888888889,0.49544350009354315,0.0,MM1,8
4.0,1,8.0,1,-1,5000.0,500.0,18179,18180,0,1.0323933744617626,0.5243046177076608,0.12979337495087617,1.2555675353005216,4.04,0.5080887567541019,0.0,MM1,9
4.0,1,8.0,1,-1,5000.0,500.0,17775,17775,0,0.9597772602927243,0.4731338377676517,0.11978071842219032,1.2429815848842365,3.95,0.48664342252507253,0.0,MM1,10
4.0,1,8.0,1,-1,5000.0,500.0,17844,17844,0,0.9530079573935781,0.46219289843780403,0.11655839738680329,1.2403348917435018,3.965333333333333,0.490815058955774,0.0,MM1,11
4.0,1,8.0,1,-1,5000.0,500.0,18114,18115,0,1.0464280499030907,0.5435676527722832,0.1350292264684115,1.2599485705651672,4.025555555555556,0.5028603971308073,0.0,MM1,12
4.0,1,8.0,1,-1,5000.0,500.0,17866,17866,0,0.9806225166789864,0.4826979720667633,0.12157958548642309,1.2469943649980582,3.970222222222222,0.497924544612223,0.0,MM1,13
4.0,1,8.0,1,-1,5000.0,500.0,17909,17906,0,0.9763745064198178,0.4812982499842827,0.12095293847483003,1.2453645460696872,3.979111111111111,0.49507625643553516,0.0,MM1,14
4.0,1,8.0,1,-1,5000.0,500.0,17894,17895,0,0.9388113190936923,0.4455218905985959,0.11204805055853798,1.2360938395512286,3.9766666666666666,0.4932894284950963,0.0,MM1,15
4.0,1,8.0,1,-1,5000.0,500.0,17995,17992,0,0.9894805799021557,0.48805132860423917,0.12205949669280461,1.2474713428331423,3.998222222222222,0.5014292512979166,0.0,MM1,16
4.0,1,8.0,1,-1,5000.0,500.0,17985,17984,0,0.9855880522387754,0.4903583644556142,0.12269393248128742,1.2466056251292599,3.9964444444444442,0.4952296877831612,0.0,MM1,17
4.0,1,8.0,1,-1,5000.0,500.0,17893,17893,0,0.9906002693848667,0.49579192386286003,0.12468918892208518,1.2491310128112552,3.9762222222222223,0.49480834552200675,0.0,MM1,18
4.0,1,8.0,1,-1,5000.0,500.0,17834,17835,0,0.9802019220444474,0.48627917614021526,0.1227071650983934,1.247339280562119,3.9633333333333334,0.49392274590423224,0.0,MM1,19
4.0,1,8.0,1,-1,5000.0,500.0,18037,18035,0,1.0248066917332515,0.5231171650893853,0.1305203564406001,1.2556913315256513,4.007777777777778,0.501689526643866,0.0,MM1,20
