time,node,event,source,destination,msgID
0.184875,1,SEND_MSG,1,0,1
0.235705,1,SEND_MSG,1,0,2
0.346077,1,SEND_MSG,1,0,3
0.38949,1,SEND_MSG,1,0,4
0.701803,1,SEND_MSG,1,0,5
0.804414,1,SEND_MSG,1,0,6
1.032128,1,SEND_MSG,1,0,7
1.102261,1,SEND_MSG,1,0,8
1.184875,0,RECV_MSG,1,0,1
1.199289,0,MSG_DEPT,1,0,1
1.235705,0,RECV_MSG,1,0,2
1.305106,1,SEND_MSG,1,0,9
1.315574,1,SEND_MSG,1,0,10
1.343651,0,MSG_DEPT,1,0,2
1.346077,0,RECV_MSG,1,0,3
1.362532,1,SEND_MSG,1,0,11
1.38949,0,RECV_MSG,1,0,4
1.420914,0,MSG_DEPT,1,0,4
1.452434,1,SEND_MSG,1,0,12
1.632253,1,SEND_MSG,1,0,13
1.646036,1,SEND_MSG,1,0,14
1.701803,0,RECV_MSG,1,0,5
1.804414,0,RECV_MSG,1,0,6
1.806797,1,SEND_MSG,1,0,15
1.888068,0,MSG_DEPT,1,0,5
1.969339,1,SEND_MSG,1,0,16
2.024207,0,MSG_DEPT,1,0,6
2.032128,0,RECV_MSG,1,0,7
2.102261,0,RECV_MSG,1,0,8
2.150866,0,MSG_DEPT,1,0,3
2.166961,1,SEND_MSG,1,0,17
2.198684,0,MSG_DEPT,1,0,8
2.224647,0,MSG_DEPT,1,0,7
2.257866,1,SEND_MSG,1,0,18
2.305106,0,RECV_MSG,1,0,9
2.315574,0,RECV_MSG,1,0,10
2.362532,0,RECV_MSG,1,0,11
2.417865,1,SEND_MSG,1,0,19
2.452434,0,RECV_MSG,1,0,12
2.472477,1,SEND_MSG,1,0,20
2.538743,1,SEND_MSG,1,0,21
2.554918,1,SEND_MSG,1,0,22
2.603002,0,MSG_DEPT,1,0,11
2.628628,0,MSG_DEPT,1,0,9
2.632253,0,RECV_MSG,1,0,13
2.646036,0,RECV_MSG,1,0,14
2.677321,1,SEND_MSG,1,0,23
2.712988,0,MSG_DEPT,1,0,13
2.714959,1,SEND_MSG,1,0,24
2.739696,0,MSG_DEPT,1,0,14
2.74336,0,MSG_DEPT,1,0,12
2.761223,0,MSG_DEPT,1,0,10
2.806797,0,RECV_MSG,1,0,15
2.80928,0,MSG_DEPT,1,0,15
2.969339,0,RECV_MSG,1,0,16
2.991438,0,MSG_DEPT,1,0,16
3.166961,0,RECV_MSG,1,0,17
3.182746,0,MSG_DEPT,1,0,17
3.247209,1,SEND_MSG,1,0,25
3.257866,0,RECV_MSG,1,0,18
3.284682,1,SEND_MSG,1,0,26
3.417865,0,RECV_MSG,1,0,19
3.427124,1,SEND_MSG,1,0,27
3.472477,0,RECV_MSG,1,0,20
3.506012,0,MSG_DEPT,1,0,19
3.538743,0,RECV_MSG,1,0,21
3.554918,0,RECV_MSG,1,0,22
3.560789,1,SEND_MSG,1,0,28
3.564021,0,MSG_DEPT,1,0,20
3.613363,0,MSG_DEPT,1,0,22
3.647966,0,MSG_DEPT,1,0,18
3.653468,0,MSG_DEPT,1,0,21
3.677321,0,RECV_MSG,1,0,23
3.714959,0,RECV_MSG,1,0,24
3.733002,1,SEND_MSG,1,0,29
3.804715,0,MSG_DEPT,1,0,24
3.835907,0,MSG_DEPT,1,0,23
3.863103,1,SEND_MSG,1,0,30
3.938558,1,SEND_MSG,1,0,31
4.015384,1,SEND_MSG,1,0,32
4.153482,1,SEND_MSG,1,0,33
4.17793,1,SEND_MSG,1,0,34
4.247209,0,RECV_MSG,1,0,25
4.284682,0,RECV_MSG,1,0,26
4.343008,0,MSG_DEPT,1,0,26
4.365627,0,MSG_DEPT,1,0,25
4.427124,0,RECV_MSG,1,0,27
4.446909,1,SEND_MSG,1,0,35
4.483603,1,SEND_MSG,1,0,36
4.498668,0,MSG_DEPT,1,0,27
4.543013,1,SEND_MSG,1,0,37
4.560789,0,RECV_MSG,1,0,28
4.733002,0,RECV_MSG,1,0,29
4.737158,0,MSG_DEPT,1,0,28
4.862049,0,MSG_DEPT,1,0,29
4.863103,0,RECV_MSG,1,0,30
4.868402,1,SEND_MSG,1,0,38
4.938558,0,RECV_MSG,1,0,31
4.975263,0,MSG_DEPT,1,0,30
4.98188,1,SEND_MSG,1,0,39
5.015384,0,RECV_MSG,1,0,32
5.04682,0,MSG_DEPT,1,0,31
5.110396,0,MSG_DEPT,1,0,32
5.153482,0,RECV_MSG,1,0,33
5.173104,1,SEND_MSG,1,0,40
5.17793,0,RECV_MSG,1,0,34
5.211912,0,MSG_DEPT,1,0,34
5.273668,1,SEND_MSG,1,0,41
5.349387,1,SEND_MSG,1,0,42
5.396508,1,SEND_MSG,1,0,43
5.446909,0,RECV_MSG,1,0,35
5.483603,0,RECV_MSG,1,0,36
5.48603,0,MSG_DEPT,1,0,35
5.543013,0,RECV_MSG,1,0,37
5.568242,0,MSG_DEPT,1,0,36
5.595411,0,MSG_DEPT,1,0,33
5.638762,1,SEND_MSG,1,0,44
5.644196,1,SEND_MSG,1,0,45
